Date,DateTime,idx,Day,Hour,Weekday,Week,Month,PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),CO(GT),C6H6(GT),NOx(GT),NO2(GT),T,RH,AH,ewma
2004-04-30,2004-04-30 23:00:00,1229,30,23,5,18,4,1626.0,1476.0,1009.0,2356.0,1786.0,5.7,26.9,281.0,135.0,22.7,78.6,1.4852,2286.24162804508
2004-05-01,2004-05-01 23:00:00,1253,1,23,6,18,5,1425.0,1155.0,1205.0,1936.0,1789.0,4.0,15.2,195.0,131.0,26.1,73.1,1.3459999999999999,1924.2725992923667
2004-05-02,2004-05-02 23:00:00,1277,2,23,7,18,5,1394.0,1111.0,1212.0,1853.0,1288.0,3.3,13.8,209.0,123.0,25.9,70.2,1.2632,1793.5037694044404
2004-05-03,2004-05-03 23:00:00,1301,3,23,1,19,5,1597.0,1466.0,1284.0,2400.0,1687.0,4.7,26.5,320.0,130.0,30.9,68.9,1.4028,2266.5921758036293
2004-05-04,2004-05-04 23:00:00,1325,4,23,2,19,5,1564.0,1379.0,1335.0,2306.0,1413.0,5.4,23.0,302.0,132.0,21.5,81.0,1.4681,2209.2749662210517
2004-05-05,2004-05-05 23:00:00,1349,5,23,3,19,5,1449.0,1350.0,1480.0,2264.0,1452.0,3.9,22.0,255.0,125.0,19.0,79.8,1.3379,2169.1439512397565
2004-05-06,2004-05-06 23:00:00,1373,6,23,4,19,5,1272.0,1304.0,1635.0,2029.0,1315.0,3.6,20.3,239.0,139.0,20.2,78.3,1.1154,1957.6308883997408
2004-05-07,2004-05-07 23:00:00,1397,7,23,5,19,5,1247.0,1355.0,1269.0,2095.0,1266.0,4.3,22.1,224.0,133.0,21.2,70.4,1.0794,2012.9052943432598
2004-05-08,2004-05-08 23:00:00,1421,8,23,6,19,5,1215.0,1209.0,1544.0,1829.0,1237.0,2.2,17.0,102.0,85.0,20.0,85.2,1.1703,1771.2895252567905
2004-05-09,2004-05-09 23:00:00,1445,9,23,7,19,5,1132.0,985.0,1266.0,1625.0,1087.0,,10.2,,,19.3,73.8,1.1577,1607.8670733997517
2004-05-10,2004-05-10 23:00:00,1469,10,23,1,20,5,1632.0,1668.0,1462.0,2617.0,1749.0,4.4,35.2,257.0,135.0,25.2,67.4,1.0392,2468.271567978374
2004-05-11,2004-05-11 23:00:00,1493,11,23,2,20,5,1650.0,1649.0,1366.0,2423.0,1822.0,6.3,34.3,383.0,163.0,26.5,70.5,1.2072,2296.7836263115955
2004-05-12,2004-05-12 23:00:00,1517,12,23,3,20,5,1754.0,1716.0,1132.0,2667.0,1895.0,5.9,37.4,336.0,131.0,21.9,68.3,1.325,2440.095528929045
2004-05-13,2004-05-13 23:00:00,1541,13,23,4,20,5,1428.0,1368.0,1554.0,2102.0,1602.0,4.6,22.6,264.0,148.0,20.3,59.3,1.1486,2087.5324109700973
2004-05-14,2004-05-14 23:00:00,1565,14,23,5,20,5,1512.0,1530.0,978.0,2326.0,1725.0,4.5,29.1,272.0,164.0,28.4,59.9,1.1298,2194.518510111962
2004-05-15,2004-05-15 23:00:00,1589,15,23,6,20,5,1284.0,1174.0,1171.0,1774.0,1486.0,3.3,15.8,234.0,149.0,28.2,51.4,0.8807,1730.5074850789663
2004-05-16,2004-05-16 23:00:00,1613,16,23,7,20,5,1403.0,1151.0,1326.0,1820.0,1205.0,2.7,15.1,147.0,125.0,31.5,51.4,1.1995,1752.2084075900987
2004-05-17,2004-05-17 23:00:00,1637,17,23,1,21,5,1215.0,1234.0,1566.0,1735.0,1243.0,3.4,17.8,216.0,142.0,26.7,38.1,0.7304,1689.1341539643026
2004-05-18,2004-05-18 23:00:00,1661,18,23,2,21,5,1745.0,1748.0,1413.0,2605.0,2054.0,6.5,38.9,346.0,162.0,32.2,46.5,0.9019,2333.656200866546
2004-05-19,2004-05-19 23:00:00,1685,19,23,3,21,5,1716.0,1701.0,1224.0,2545.0,2018.0,6.2,36.7,320.0,165.0,31.6,53.4,1.1313,2308.1631969121568
2004-05-20,2004-05-20 23:00:00,1709,20,23,4,21,5,1763.0,1617.0,1265.0,2503.0,1835.0,5.4,32.9,267.0,179.0,32.6,59.0,1.1279,2290.042730821126
2004-05-21,2004-05-21 23:00:00,1733,21,23,5,21,5,1522.0,1509.0,1167.0,2275.0,1828.0,4.8,28.2,303.0,155.0,32.8,54.7,1.0004,2165.9685303718206
2004-05-22,2004-05-22 23:00:00,1757,22,23,6,21,5,1466.0,1240.0,1024.0,1965.0,1454.0,3.7,18.0,194.0,126.0,29.2,53.8,1.2771,1909.6467735842693
2004-05-23,2004-05-23 23:00:00,1781,23,23,7,21,5,1507.0,1311.0,1257.0,2107.0,1499.0,4.1,20.5,179.0,114.0,28.8,61.6,1.2679,2038.7392871340921
2004-05-24,2004-05-24 23:00:00,1805,24,23,1,22,5,1006.0,1100.0,1904.0,1416.0,987.0,2.4,13.5,165.0,114.0,25.8,45.2,0.8394,1403.0393673931273
2004-05-25,2004-05-25 23:00:00,1829,25,23,2,22,5,1321.0,1426.0,1559.0,1859.0,1481.0,3.2,24.9,289.0,155.0,32.6,40.0,0.5773,1731.9854123717716
2004-05-26,2004-05-26 23:00:00,1853,26,23,3,22,5,1303.0,1776.0,1276.0,1720.0,1608.0,4.0,40.2,188.0,136.0,32.3,35.7,0.8440000000000001,1731.9854123717716
2004-05-27,2004-05-27 23:00:00,1877,27,23,4,22,5,1485.0,1650.0,1442.0,2337.0,1789.0,,34.4,,,31.3,48.6,0.9088,2180.110482095552
2004-05-28,2004-05-28 23:00:00,1901,28,23,5,22,5,1245.0,1367.0,1305.0,2008.0,1330.0,2.2,22.6,147.0,119.0,29.6,54.8,1.2148,1943.7367637019074
2004-05-29,2004-05-29 23:00:00,1925,29,23,6,22,5,1065.0,1106.0,1588.0,1707.0,929.0,2.7,13.7,142.0,119.0,23.8,51.9,1.0504,1631.83444913549
2004-05-30,2004-05-30 23:00:00,1949,30,23,7,22,5,1035.0,1110.0,1502.0,1652.0,1044.0,2.7,13.8,148.0,128.0,32.0,47.7,0.9385,1645.27814971183
2004-05-31,2004-05-31 23:00:00,1973,31,23,1,23,5,1252.0,1429.0,1451.0,2120.0,1390.0,3.6,25.0,248.0,161.0,30.9,81.6,1.6296,2028.5952145419144
2004-06-01,2004-06-01 23:00:00,1997,1,23,2,23,6,1501.0,1501.0,1527.0,2486.0,1517.0,4.8,27.9,248.0,109.0,25.7,82.3,1.6688,2378.230892009693
2004-06-02,2004-06-02 23:00:00,2021,2,23,3,23,6,1223.0,1142.0,1280.0,1965.0,1084.0,0.8,14.8,145.0,95.0,31.8,70.7,1.5799,1897.7726542031905
2004-06-03,2004-06-03 23:00:00,2045,3,23,4,23,6,1234.0,1318.0,1517.0,2180.0,2202.0,,20.8,248.0,108.0,29.1,79.0,1.704,2117.64811005841
2004-06-04,2004-06-04 23:00:00,2069,4,23,5,23,6,1198.0,1226.0,1570.0,2058.0,1213.0,3.6,17.5,,,28.3,54.0,1.2342,1908.3999841881368
2004-06-05,2004-06-05 23:00:00,2093,5,23,6,23,6,1157.0,1183.0,1135.0,1970.0,1079.0,2.7,16.1,187.0,111.0,30.7,59.4,1.6315,1934.2542438384564
2004-06-06,2004-06-06 23:00:00,2117,6,23,7,23,6,968.0,914.0,1471.0,1739.0,862.0,1.7,8.4,131.0,98.0,27.0,81.8,1.5816,1715.6129026434746
2004-06-07,2004-06-07 23:00:00,2141,7,23,1,24,6,1243.0,1524.0,1281.0,2281.0,1470.0,4.8,28.9,290.0,142.0,35.9,57.9,1.2898,2151.598917701707
2004-06-08,2004-06-08 23:00:00,2165,8,23,2,24,6,1377.0,1688.0,1449.0,2746.0,1708.0,5.8,36.1,441.0,183.0,37.8,62.3,1.3130000000000002,2490.0574912354127
2004-06-09,2004-06-09 23:00:00,2189,9,23,3,24,6,1496.0,1705.0,1113.0,2691.0,2147.0,6.4,36.9,357.0,222.0,40.6,56.0,1.4672,2466.4813607174165
2004-06-10,2004-06-10 23:00:00,2213,10,23,4,24,6,1373.0,1561.0,1138.0,2525.0,1640.0,5.1,30.4,363.0,211.0,40.4,59.4,1.5019999999999998,2332.0646001431933
2004-06-11,2004-06-11 23:00:00,2237,11,23,5,24,6,1355.0,1526.0,1176.0,2397.0,1658.0,4.8,28.9,333.0,158.0,37.4,51.4,1.2065,2274.5413968902944
2004-06-12,2004-06-12 23:00:00,2261,12,23,6,24,6,1245.0,1119.0,1109.0,1870.0,1200.0,2.6,14.1,171.0,113.0,37.0,46.6,1.4135,1853.524141105011
2004-06-13,2004-06-13 23:00:00,2285,13,23,7,24,6,1086.0,946.0,1534.0,1729.0,945.0,2.0,9.2,126.0,89.0,26.2,51.0,1.4599,1770.5080470350038
2004-06-14,2004-06-14 23:00:00,2309,14,23,1,25,6,1072.0,1057.0,1941.0,1820.0,885.0,2.7,12.2,157.0,103.0,25.6,52.7,1.2534,1730.6795404539155
2004-06-15,2004-06-15 23:00:00,2333,15,23,2,25,6,1287.0,1424.0,1525.0,2319.0,1489.0,4.4,24.8,311.0,158.0,35.3,51.8,1.2524,2186.3928609112554
2004-06-16,2004-06-16 23:00:00,2357,16,23,3,25,6,1440.0,1556.0,1163.0,2530.0,1561.0,5.0,30.2,310.0,142.0,33.6,59.8,1.4659,2325.7109493287107
2004-06-17,2004-06-17 23:00:00,2381,17,23,4,25,6,1335.0,1496.0,1102.0,2385.0,1690.0,4.8,27.7,300.0,154.0,31.5,60.8,1.3940000000000001,2271.416685990839
2004-06-18,2004-06-18 23:00:00,2405,18,23,5,25,6,1306.0,1522.0,1259.0,2450.0,1545.0,4.4,28.8,274.0,180.0,37.6,54.1,1.4733,2231.87906439638
2004-06-19,2004-06-19 23:00:00,2429,19,23,6,25,6,1101.0,992.0,1109.0,1774.0,1007.0,2.4,10.4,125.0,113.0,36.1,55.0,1.4517,1771.818819507276
2004-06-20,2004-06-20 23:00:00,2453,20,23,7,25,6,,,,,,4.2,,144.0,114.0,,,,1719.588601443258
2004-06-21,2004-06-21 23:00:00,2477,21,23,1,26,6,1221.0,1386.0,1353.0,2138.0,1412.0,3.7,23.3,232.0,147.0,31.1,57.6,1.1945,2026.900826446281
2004-06-22,2004-06-22 23:00:00,2501,22,23,2,26,6,1332.0,1556.0,1385.0,2394.0,1660.0,5.0,30.2,387.0,154.0,33.5,56.5,1.2095,2209.7635670314858
2004-06-23,2004-06-23 23:00:00,2525,23,23,3,26,6,1313.0,1408.0,1183.0,2210.0,1598.0,4.8,24.2,331.0,166.0,35.4,52.3,1.44,2112.584530895484
2004-06-24,2004-06-24 23:00:00,2549,24,23,4,26,6,1256.0,1340.0,1062.0,2176.0,1280.0,4.1,21.6,168.0,128.0,35.8,60.9,1.7193,2076.8708593710294
2004-06-25,2004-06-25 23:00:00,2573,25,23,5,26,6,1203.0,1237.0,1144.0,1968.0,1370.0,3.4,17.9,245.0,151.0,36.2,57.0,1.3793,1923.6359103601987
2004-06-26,2004-06-26 23:00:00,2597,26,23,6,26,6,1214.0,1151.0,1171.0,1938.0,1323.0,2.7,15.1,187.0,144.0,38.4,45.8,1.5098,1864.4318085705445
2004-06-27,2004-06-27 23:00:00,2621,27,23,7,26,6,1127.0,1075.0,1195.0,1830.0,1266.0,2.4,12.7,146.0,137.0,42.2,53.7,1.5318,1841.477269523515
2004-06-28,2004-06-28 23:00:00,2645,28,23,1,27,6,1441.0,1606.0,1079.0,2568.0,1791.0,5.6,32.4,348.0,183.0,40.4,50.1,1.4854,2363.23934967306
2004-06-29,2004-06-29 23:00:00,2669,29,23,2,27,6,1502.0,1631.0,1080.0,2622.0,1858.0,5.7,33.5,350.0,202.0,38.0,49.5,1.8362,2439.558751473534
2004-06-30,2004-06-30 23:00:00,2693,30,23,3,27,6,1506.0,1499.0,1052.0,2485.0,2043.0,4.9,27.8,290.0,226.0,39.7,59.1,1.939,2351.325461131238
2004-07-01,2004-07-01 23:00:00,2717,1,23,4,27,7,1380.0,1376.0,1079.0,2337.0,1617.0,4.4,22.9,261.0,179.0,38.1,58.6,1.7969,2210.2164102099473
2004-07-02,2004-07-02 23:00:00,2741,2,23,5,27,7,1529.0,1526.0,1046.0,2559.0,1763.0,4.9,29.0,300.0,174.0,38.8,50.6,1.6396,2344.162790218782
2004-07-03,2004-07-03 23:00:00,2765,3,23,6,27,7,1173.0,1130.0,1077.0,1885.0,1401.0,2.5,14.4,208.0,131.0,38.0,50.7,1.3473,1811.296957663728
2004-07-04,2004-07-04 23:00:00,2789,4,23,7,27,7,1217.0,1060.0,1185.0,1840.0,1227.0,2.2,12.3,126.0,108.0,39.3,59.6,1.5732,1794.1944058711686
2004-07-05,2004-07-05 23:00:00,2813,5,23,1,28,7,1344.0,1496.0,1120.0,2311.0,1651.0,4.3,27.7,330.0,203.0,40.4,51.4,1.3251,2108.422498864176
2004-07-06,2004-07-06 23:00:00,2837,6,23,2,28,7,1467.0,1575.0,1123.0,2460.0,2475.0,5.1,31.0,369.0,194.0,40.2,52.5,1.4404,2315.629260449767
2004-07-07,2004-07-07 23:00:00,2861,7,23,3,28,7,1502.0,1546.0,1073.0,2305.0,2021.0,5.3,29.8,392.0,233.0,42.6,39.3,1.3055,2205.2566044460627
2004-07-08,2004-07-08 23:00:00,2885,8,23,4,28,7,1611.0,1552.0,910.0,2371.0,1948.0,5.1,30.0,361.0,206.0,41.9,40.4,1.6308,2235.6497070592704
2004-07-09,2004-07-09 23:00:00,2909,9,23,5,28,7,1355.0,1282.0,1144.0,1996.0,1714.0,3.2,19.5,228.0,180.0,34.4,46.2,1.6039,1969.8010276010668
2004-07-10,2004-07-10 23:00:00,2933,10,23,6,28,7,1118.0,1082.0,1126.0,1792.0,1080.0,2.3,13.0,161.0,127.0,33.3,53.2,1.3379,1759.291698568497
2004-07-11,2004-07-11 23:00:00,2957,11,23,7,28,7,1153.0,1042.0,1254.0,1713.0,1022.0,2.4,11.8,184.0,136.0,33.0,52.6,1.2596,1690.1916266667065
2004-07-12,2004-07-12 23:00:00,2981,12,23,1,29,7,1272.0,1328.0,1269.0,2085.0,1463.0,3.6,21.1,333.0,128.0,28.5,57.4,1.2452,1935.3439514121806
2004-07-13,2004-07-13 23:00:00,3005,13,23,2,29,7,1257.0,1495.0,1274.0,2245.0,1647.0,5.0,27.6,379.0,173.0,34.5,59.8,1.1387,2131.4878777597887
2004-07-14,2004-07-14 23:00:00,3029,14,23,3,29,7,1339.0,1561.0,1076.0,2357.0,1791.0,4.7,30.4,427.0,190.0,36.0,49.4,1.0979999999999999,2231.033317464723
2004-07-15,2004-07-15 23:00:00,3053,15,23,4,29,7,1291.0,1434.0,1105.0,2239.0,1620.0,4.8,25.2,344.0,198.0,37.1,48.4,1.3818,2055.844824691741
2004-07-16,2004-07-16 23:00:00,3077,16,23,5,29,7,1319.0,1470.0,1155.0,2276.0,1589.0,4.4,26.6,316.0,206.0,38.1,48.5,1.4452,2074.2933773448494
2004-07-17,2004-07-17 23:00:00,3101,17,23,6,29,7,1165.0,1080.0,1039.0,1675.0,1360.0,2.4,12.9,175.0,138.0,41.1,46.9,1.198,1677.8136981047494
2004-07-18,2004-07-18 23:00:00,3125,18,23,7,29,7,1147.0,1040.0,1132.0,1635.0,1279.0,2.2,11.7,132.0,114.0,41.4,48.5,1.1405,1614.5203208676464
2004-07-19,2004-07-19 23:00:00,3149,19,23,1,30,7,1403.0,1443.0,1090.0,2234.0,1811.0,3.4,25.6,313.0,200.0,41.4,46.5,1.3343,2084.4333953320565
2004-07-20,2004-07-20 23:00:00,3173,20,23,2,30,7,1626.0,1713.0,924.0,2643.0,2176.0,,37.3,395.0,193.0,42.8,47.4,1.3794,2445.76660146279
2004-07-21,2004-07-21 23:00:00,3197,21,23,3,30,7,1526.0,1495.0,1006.0,2405.0,1904.0,4.1,27.7,286.0,194.0,42.7,50.1,1.537,2224.9608662890123
2004-07-22,2004-07-22 23:00:00,3221,22,23,4,30,7,1602.0,1678.0,867.0,2662.0,2105.0,4.4,35.6,351.0,190.0,44.6,55.4,1.621,2483.1747645842247
2004-07-23,2004-07-23 23:00:00,3245,23,23,5,30,7,1367.0,1441.0,891.0,2283.0,1770.0,3.8,25.5,262.0,156.0,43.1,51.5,1.5071,2176.9428020563887
2004-07-24,2004-07-24 23:00:00,3269,24,23,6,30,7,1238.0,1156.0,983.0,1897.0,1353.0,2.4,15.2,153.0,116.0,38.3,52.2,1.837,1864.173510845177
2004-07-25,2004-07-25 23:00:00,3293,25,23,7,30,7,1163.0,893.0,1242.0,1760.0,977.0,1.7,7.9,103.0,110.0,31.5,69.3,2.0042,1715.5446792185828
2004-07-26,2004-07-26 23:00:00,3317,26,23,1,31,7,1163.0,1227.0,1204.0,1931.0,1169.0,1.5,17.6,180.0,131.0,36.3,48.5,1.6159999999999999,1825.9700386370434
2004-07-27,2004-07-27 23:00:00,3341,27,23,2,31,7,1086.0,1045.0,1128.0,1724.0,1134.0,,11.9,181.0,128.0,32.8,48.8,1.4337,1684.470923388807
2004-07-28,2004-07-28 23:00:00,3365,28,23,3,31,7,1210.0,1472.0,1156.0,2112.0,1525.0,,26.7,282.0,166.0,36.8,42.5,1.0682,1958.9814780054212
2004-07-29,2004-07-29 23:00:00,3389,29,23,4,31,7,1281.0,1469.0,1158.0,2179.0,1669.0,,26.6,287.0,171.0,38.6,45.6,1.5349,2023.565765939111
2004-07-30,2004-07-30 23:00:00,3413,30,23,5,31,7,1380.0,1463.0,932.0,2322.0,1691.0,,26.3,297.0,167.0,39.3,52.2,1.6157,2188.986507822613
2004-07-31,2004-07-31 23:00:00,3437,31,23,6,31,7,1272.0,1175.0,917.0,1957.0,1347.0,3.4,15.9,220.0,174.0,40.4,58.8,1.6807,1912.4456640407761
2004-08-01,2004-08-01 23:00:00,3461,1,23,7,31,8,1170.0,1020.0,1119.0,1798.0,1086.0,2.0,11.2,106.0,100.0,40.2,63.6,1.9998,1780.1138406801654
